id,emp_id,year,cl_limit,ml_limit,od_limit,comp_limit,lop_limit,created_at,updated_at,from_month,to_month,permission_limit
5383,234,2026,12,12,10,6,30,2026-03-16 23:57:00.767293,2026-03-25 04:09:02.820314,2026-03,2026-03,2
5386,144,2026,12,12,10,6,30,2026-03-16 23:57:00.960303,2026-03-25 04:09:01.492291,2026-03,2027-03,2
5387,121,2026,12,12,10,6,30,2026-03-16 23:57:01.024415,2026-03-25 04:09:00.922429,2026-03,2026-03,2
5388,860,2026,12,12,10,6,30,2026-03-16 23:57:01.088506,2026-03-25 04:09:07.595486,2026-03,2026-03,2
5389,948,2026,12,12,10,6,30,2026-03-16 23:57:01.153287,2026-03-25 04:09:10.252835,2026-03,2027-03,2
5391,386,2026,12,12,10,6,30,2026-03-16 23:57:01.282755,2026-03-25 04:09:04.338731,2026-03,2026-03,2
5393,878,2026,12,12,10,6,30,2026-03-16 23:57:01.412297,2026-03-25 04:09:07.97327,2026-03,2026-03,2
5395,51,2026,12,12,10,6,30,2026-03-16 23:57:01.541372,2026-03-25 04:09:03.38935,2026-03,2026-03,2
5397,1185,2026,12,12,10,6,30,2026-03-16 23:57:01.669861,2026-03-25 04:08:59.971688,2026-03,2026-03,2
5399,913,2026,12,12,10,6,30,2026-03-16 23:57:01.799305,2026-03-25 04:09:08.920037,2026-03,2026-03,2
5400,817,2026,12,12,10,6,30,2026-03-16 23:57:01.863402,2026-03-25 04:09:06.456346,2026-03,2026-03,2
5401,563,2026,12,12,10,6,30,2026-03-16 23:57:01.927495,2026-03-25 04:09:05.702094,2026-03,2026-03,2
5403,119,2026,12,12,10,6,30,2026-03-16 23:57:02.055704,2026-03-25 04:09:00.161621,2026-03,2026-03,2
5404,919,2026,12,12,10,6,30,2026-03-16 23:57:02.122019,2026-03-25 04:09:09.300081,2026-03,2026-03,2
5405,158,2026,12,12,10,6,30,2026-03-16 23:57:02.186569,2026-03-25 04:09:01.682176,2026-03,2026-03,2
5517,879,2026,12,12,10,6,30,2026-03-17 11:48:05.768974,2026-03-25 04:09:08.163763,2026-03,2026-04,2
5520,92,2026,12,12,10,6,30,2026-03-17 11:48:05.963486,2026-03-25 04:09:09.48839,2026-03,2026-03,2
5523,439,2026,12,12,10,6,30,2026-03-17 11:48:06.151106,2026-03-25 04:09:04.718505,2026-03,2026-03,2
5525,139,2026,12,12,10,6,30,2026-03-17 11:48:06.275977,2026-03-25 04:09:01.302605,2026-03,2026-04,2
5529,877,2026,12,12,10,6,30,2026-03-17 11:48:06.525003,2026-03-25 04:09:07.783657,2026-03,2026-03,2
5533,263,2026,12,12,10,6,30,2026-03-17 11:48:06.774234,2026-03-25 04:09:03.199635,2026-03,2026-03,2
5535,192,2026,12,12,10,6,30,2026-03-17 11:48:06.899004,2026-03-25 04:09:02.251057,2026-03,2027-03,2
5540,339,2026,12,12,10,6,30,2026-03-17 11:48:07.2105,2026-03-25 04:09:03.769004,2026-03,2026-03,2
5541,506,2026,12,12,10,6,30,2026-03-17 11:48:07.274011,2026-03-25 04:09:05.325701,2026-03,2026-03,2
5544,1003,2026,12,12,10,6,30,2026-03-17 11:48:07.463166,2026-03-25 04:08:53.527185,2026-03,2026-03,2
5550,1019,2026,12,12,10,6,30,2026-03-17 11:48:07.839569,2026-03-25 04:08:54.281043,2026-03,2026-04,2
5554,970,2026,12,12,10,6,30,2026-03-17 11:48:08.089622,2026-03-25 04:09:10.631047,2026-03,2026-03,2
5556,1095,2026,12,12,10,6,30,2026-03-17 11:48:08.213932,2026-03-25 04:08:55.986013,2026-03,2026-03,2
5557,1016,2026,12,12,10,6,30,2026-03-17 11:48:08.2765,2026-03-25 04:08:54.092383,2026-03,2026-04,2
5565,960,2026,12,12,10,6,30,2026-03-17 11:48:08.777354,2026-03-25 04:09:10.441526,2026-03,2026-03,2
5566,1090,2026,12,12,10,6,30,2026-03-17 11:48:08.839472,2026-03-25 04:08:55.416472,2026-03,2026-03,2
5568,1096,2026,12,12,10,6,30,2026-03-17 11:48:08.964566,2026-03-25 04:08:56.175355,2026-03,2026-04,2
5569,1181,2026,12,12,10,6,30,2026-03-17 11:48:09.026931,2026-03-25 04:08:59.781923,2026-03,2026-03,2
5571,1130,2026,12,12,10,6,30,2026-03-17 11:48:09.151614,2026-03-25 04:08:58.263116,2026-03,2026-03,2
5572,242,2026,12,12,10,6,30,2026-03-17 11:48:09.213963,2026-03-25 04:09:03.009705,2026-03,2026-04,2
5573,1103,2026,12,12,10,6,30,2026-03-17 11:48:09.276565,2026-03-25 04:08:56.744397,2026-03,2026-03,2
5574,317,2026,12,12,10,6,30,2026-03-17 11:48:09.338966,2026-03-25 04:09:03.579044,2026-03,2026-03,2
5576,409,2026,12,12,10,6,30,2026-03-17 11:48:09.463253,2026-03-25 04:09:04.528332,2026-03,2026-03,2
5577,910,2026,12,12,10,6,30,2026-03-17 11:48:09.525747,2026-03-25 04:09:08.352292,2026-03,2026-03,2
5579,1093,2026,12,12,10,6,30,2026-03-17 11:48:09.650739,2026-03-25 04:08:55.795963,2026-03,2026-03,2
5580,1141,2026,12,12,10,6,30,2026-03-17 11:48:09.713206,2026-03-25 04:08:59.022695,2026-03,2026-03,2
5582,1128,2026,12,12,10,6,30,2026-03-17 11:48:09.83814,2026-03-25 04:08:58.073701,2026-03,2026-03,2
5583,930,2026,12,12,10,6,30,2026-03-17 11:48:09.900592,2026-03-25 04:09:09.87179,2026-03,2026-03,2
5647,1,2026,12,12,10,6,30,2026-03-18 03:51:18.34826,2026-03-25 04:08:53.338703,2026-03,2026-03,2
5936,1101,2026,12,12,10,6,30,2026-03-18 11:16:34.437396,2026-03-25 04:08:56.554484,2026-03,2026-03,2
5937,820,2026,12,12,10,6,30,2026-03-18 11:16:34.505385,2026-03-25 04:09:07.029853,2026-03,2026-04,2
5948,923,2026,12,12,10,6,30,2026-03-18 11:16:35.211269,2026-03-25 04:09:09.680607,2026-03,2027-03,2
5961,106,2026,12,12,10,6,30,2026-03-18 11:16:36.042779,2026-03-25 04:08:54.658986,2026-03,2026-03,2
5962,512,2026,12,12,10,6,30,2026-03-18 11:16:36.106565,2026-03-25 04:09:05.514253,2026-03,2026-03,2
5964,819,2026,12,12,10,6,30,2026-03-18 11:16:36.236144,2026-03-25 04:09:06.83241,2026-03,2026-03,2
5975,215,2026,12,12,10,6,30,2026-03-18 11:16:36.936971,2026-03-25 04:09:02.440794,2026-03,2026-04,2
5998,1132,2026,12,12,10,6,30,2026-03-18 11:16:38.400738,2026-03-25 04:08:58.452784,2026-03,2026-03,2
6008,1114,2026,12,12,10,6,30,2026-03-18 11:16:39.036634,2026-03-25 04:08:57.123113,2026-03,2026-04,2
6012,1083,2026,12,12,10,6,30,2026-03-18 11:16:39.293021,2026-03-25 04:08:55.037651,2026-03,2026-04,2
6015,1148,2026,12,12,10,6,30,2026-03-18 11:16:39.483905,2026-03-25 04:08:59.40196,2026-03,2026-04,2
6016,1191,2026,12,12,10,6,30,2026-03-18 11:16:39.549371,2026-03-25 04:09:00.351913,,,2
6018,77,2026,12,12,10,6,30,2026-03-18 11:16:39.676396,2026-03-25 04:09:06.078863,2026-03,2026-03,2
6021,1091,2026,12,12,10,6,30,2026-03-18 11:16:39.867137,2026-03-25 04:08:55.60669,2026-03,2026-04,2
7103,5001,2025,12,12,10,6,30,2026-03-22 02:23:57.190427,2026-03-22 04:41:07.69057,2025-06,2026-06,2
7104,1101,2025,12,12,10,6,30,2026-03-22 02:23:57.286771,2026-03-22 04:28:05.59087,2025-03,2026-03,2
7105,916,2025,12,12,10,6,30,2026-03-22 02:23:57.288124,2026-03-22 04:41:07.288262,2025-06,2026-06,2
7106,820,2025,12,12,10,6,30,2026-03-22 02:23:57.29001,2026-03-22 04:41:07.593772,2025-06,2026-06,2
7107,984,2025,12,12,10,6,30,2026-03-22 02:23:57.351217,2026-03-22 04:41:06.933137,2025-06,2026-06,2
7108,879,2025,12,12,10,6,30,2026-03-22 02:23:57.381598,2026-03-22 04:41:06.791019,2025-06,2026-06,2
7111,92,2025,12,12,10,6,30,2026-03-22 02:23:57.443255,2026-03-22 04:31:35.092703,2025-03,2026-03,2
7112,912,2025,12,12,10,6,30,2026-03-22 02:23:57.445986,2026-03-22 04:31:34.051276,2025-03,2026-03,2
7113,439,2025,12,12,10,6,30,2026-03-22 02:23:57.454372,2026-03-22 04:41:07.104985,2025-06,2026-06,2
7114,139,2025,12,12,10,6,30,2026-03-22 02:23:57.483984,2026-03-22 04:41:07.11049,2025-06,2026-06,2
7117,923,2025,12,12,10,6,30,2026-03-22 02:23:57.525596,2026-03-22 04:41:07.689349,2025-06,2026-06,2
7118,1173,2025,12,12,10,6,30,2026-03-22 02:23:57.559011,2026-03-22 04:41:07.487057,2025-06,2026-06,2
7119,877,2025,12,12,10,6,30,2026-03-22 02:23:57.560693,2026-03-22 04:41:07.395591,2025-06,2026-06,2
7120,130,2025,12,12,10,6,30,2026-03-22 02:23:57.609448,2026-03-22 04:31:33.99525,2025-03,2026-03,2
7122,1087,2025,12,12,10,6,30,2026-03-22 02:23:57.659692,2026-03-22 04:41:07.686438,2025-06,2026-06,2
7123,1097,2025,12,12,10,6,30,2026-03-22 02:23:57.660045,2026-03-22 04:41:07.589487,2025-06,2026-06,2
7124,192,2025,12,12,10,6,30,2026-03-22 02:23:57.757334,2026-03-22 04:41:07.687464,2025-06,2026-06,2
7125,1116,2025,12,12,10,6,30,2026-03-22 02:23:57.870367,2026-03-22 04:41:07.890902,2025-06,2026-06,2
7126,1134,2025,12,12,10,6,30,2026-03-22 02:23:57.873012,2026-03-22 04:41:07.690779,2025-06,2026-06,2
7127,263,2025,12,12,10,6,30,2026-03-22 02:23:57.955721,2026-03-22 04:41:07.595188,2025-06,2026-06,2
7128,106,2025,12,12,10,6,30,2026-03-22 02:23:58.003583,2026-03-22 04:41:08.292911,2025-06,2026-06,2
7129,103,2025,12,12,10,6,30,2026-03-22 02:23:58.007038,2026-03-22 04:41:07.893405,2025-06,2026-06,2
7131,512,2025,12,12,10,6,30,2026-03-22 02:23:58.05828,2026-03-22 04:41:08.091595,2025-06,2026-06,2
7132,819,2025,12,12,10,6,30,2026-03-22 02:23:58.068527,2026-03-22 04:41:07.098938,2025-06,2026-06,2
7133,911,2025,12,12,10,6,30,2026-03-22 02:23:58.095353,2026-03-22 04:31:35.39298,2025-03,2026-03,2
7134,848,2025,12,12,10,6,30,2026-03-22 02:23:58.095885,2026-03-22 04:28:06.588047,2025-03,2026-03,2
7135,339,2025,12,12,10,6,30,2026-03-22 02:23:58.121132,2026-03-22 04:28:41.389269,2025-03,2026-03,2
7136,1112,2025,12,12,10,6,30,2026-03-22 02:23:58.12311,2026-03-22 04:41:07.786709,2025-06,2026-06,2
7137,506,2025,12,12,10,6,30,2026-03-22 02:23:58.151844,2026-03-22 04:41:07.69448,2025-06,2026-06,2
7138,1003,2025,12,12,10,6,30,2026-03-22 02:23:58.188529,2026-03-22 04:28:41.489132,2025-03,2026-03,2
7139,36,2025,12,12,10,6,30,2026-03-22 02:23:58.190916,2026-03-22 04:41:07.894761,2025-06,2026-06,2
7140,234,2025,12,12,10,6,30,2026-03-22 02:23:58.211103,2026-03-22 04:41:08.295119,2025-06,2026-06,2
7141,69,2025,12,12,10,6,30,2026-03-22 02:23:58.234205,2026-03-22 04:31:35.897681,2025-03,2026-03,2
7142,144,2025,12,12,10,6,30,2026-03-22 02:23:58.240886,2026-03-22 04:41:07.895186,2025-06,2026-06,2
7144,215,2025,12,12,10,6,30,2026-03-22 02:23:58.307737,2026-03-22 04:41:08.094042,2025-06,2026-06,2
7146,1019,2025,12,12,10,6,30,2026-03-22 02:23:58.349998,2026-03-22 04:41:07.894768,2025-06,2026-06,2
7147,121,2025,12,12,10,6,30,2026-03-22 02:23:58.362415,2026-03-22 04:31:34.4892,2025-03,2026-03,2
7148,860,2025,12,12,10,6,30,2026-03-22 02:23:58.376609,2026-03-22 04:31:35.393371,2025-03,2026-03,2
7150,948,2025,12,12,10,6,30,2026-03-22 02:23:58.415492,2026-03-22 04:31:35.392587,2025-03,2026-03,2
7151,1,2025,12,12,10,6,30,2026-03-22 02:23:58.439286,2026-03-22 04:31:34.490845,2025-03,2026-03,2
7152,970,2025,12,12,10,6,30,2026-03-22 02:23:58.442995,2026-03-22 04:41:07.896658,2025-06,2026-06,2
7153,1095,2025,12,12,10,6,30,2026-03-22 02:23:58.447922,2026-03-22 04:41:07.986531,2025-06,2026-06,2
7154,1016,2025,12,12,10,6,30,2026-03-22 02:23:58.470467,2026-03-22 04:28:41.797166,2025-03,2026-03,2
7155,878,2025,12,12,10,6,30,2026-03-22 02:23:58.486532,2026-03-22 04:31:35.898376,2025-03,2026-03,2
7157,119,2025,12,12,10,6,30,2026-03-22 02:23:58.50179,2026-03-22 04:41:08.294379,2025-06,2026-06,2
7158,386,2025,12,12,10,6,30,2026-03-22 02:23:58.527626,2026-03-22 04:41:08.294175,2025-06,2026-06,2
7159,51,2025,12,12,10,6,30,2026-03-22 02:23:58.536492,2026-03-22 04:41:08.195353,2025-06,2026-06,2
7161,1185,2025,12,12,10,6,30,2026-03-22 02:23:58.584592,2026-03-22 04:31:35.995951,2025-03,2026-03,2
